Company Name,Phone number,Website
Custom Ink,704-935-5604,"https://www.customink.com/phillipsplace
                    "
"Law Office of Jana K. Jones, PLLC",704-275-3505,"https://lawofficeofjkj.com
                    "
Carolinas NOW ,704-905-1563,"https://carolinas-now.com/
                    "
Queen City Magazine,704-755-7601,"https://citylifestyle.com/queencity
                    "
Ace & TJ Show,843-212-6522,"https://acetj.com
                    "
"We Are HeadStart, Inc.",202-407-2898,"https://www.weareheadstart.com               
                    "
FASTSIGNS Charlotte Airport,704-961-9900,"https://www.fastsigns.com/2437
                    "
                    
Bouley Printing Company,704-588-3365,"https://www.bouleyprinting.com
                    "
CLT Public Relations,No phone number listed,"www.cltpr.com
                    "
South City Print,704-529-0555,"https://www.southcityprint.com
                    "
Kim Brattain Media,888-394-4753,"https://kimbrattain.com/
                    "
IBX Digital,704-800-3774,"https://ibx.digital
                    "
The Wilson Media Co.,813-733-7681,"www.thewilsonmedia.co
                    "
Coumba Win Design,802-990-3399,"https://www.coumba.win
                    "
Vibe.co ,585-300-1028,"https://vibe.co
                    "
Queen City Vizion LLC,703-217-5038,"https://www.linkedin.com/in/zach-bokulic-mba-6a7b31a7
                    "
Cargill,704-679-7120,"https://www.cargill.com
                    "
DUKE Limo ,980-401-2246,"https://dukelimo.com
                    "
Oak Lake Townhomes,704-266-1534,"https://www.oaklakeliving.com
                    "
The Villas at Trevi Village,980-286-8815,"https://www.thevillasattrevivillage.com
                    "
Spire Luxury Apartments,336-331-1700,"https://www.luxuryapartmentscharlottenc.com
                    "
Solis Millennium,980-348-9485,"solismillennium.com
                    "
Dryer Vent Superheroes of Mecklenburg County,980-550-5401,"https://dryerventheroes.com
                    "
HHHunt/Abberly Commons Apartment Homes,980-327-1800,"www.abberlycommons.com
                    "
Linz Charlotte,704-503-9290,"https://www.linzcharlotte.com
                    "
"Brian Lafontaine, Incorporated",646-544-6912,"https://brianlafontaine.com
                    "
Training Concepts,917-687-3702,"https://www.tc.fitness
                    "
Carolina DJ Professionals,704-990-5622,"https://www.carolinadjprofessionals.com
                    "
Pro-Tint,704-938-8468,"https://www.protint.com
                    "
Greater Charlotte Auto Dealers Association,704-364-1078,"https://www.charlotteautoshow.com
                    "
Parks Auto Group - Commercial Division,336-992-2009,"https://www.parkscommercial.com
                    "
"Brian Lafontaine, Incorporated",646-544-6912,"https://brianlafontaine.com
                    "
ARC Point Labs - ZEM Aesthetics and Med Spa,704-900-8625,"https://www.zemmedspa.com
                    "
CPCC - Small Business Center and the Corporate Engagement Team,704-330-6736,"https://CPCC.edu/sbc
                    "
"DT2 Hospitality Solutions, LLC",704-284-9444,"https://www.dt2hospitality.com
                    "
BBI,201-988-8578,"https://www.bbiteam.com
                    "
ANC Group,888-424-4863,"ancgroup.com
                    "
"Debbie's Staffing Services, Inc",704-494-8884,"https://www.debbiesstaffing.com
                    "
Sherwin Williams,980-938-7897,"https://www.sherwin-williams.com/store-locator/paint-store/charlotte/nc
                    "
Exceed Safety,919-728-7233,"https://www.exceedsafety.com
                    "
Coast Professional Inc.,585-991-2133,"https://www.coastprofessional.com
                    "
"Lead and Grow Consulting, LLC",479-435-2640,"www.howardintl.org
                    "
McDowell Recruitment and Employment Agency,704-729-6022,"https://www.mcdowellrecruitmentandemploymentagency.com
                    "
The Proximity Group,270-348-1781,"https://www.theproximitygroup.org
                    "
"Peaceful Tails, End-of-Life Animal Doula",980-999-1751,"https://Peacefultailsdoula.com
                    "
Vasami Training ,914-450-3614,"chrisvasami.com
                    "
Charlotte Payroll,704-887-5511,"https://www.charlottepayroll.com
                    "
Principled Payments LLC,704-785-6462,"https://www.principledpayments.com
                    "
Training Concepts,917-687-3702,"https://www.tc.fitness
                    "
Elite Resources Inc.,704-504-2299,"https://eliteresources.net
                    "
Carolina DJ Professionals,704-990-5622,"https://www.carolinadjprofessionals.com
                    "
Crosswinds Insurance Agency,704-248-2657,"https://CROSSWINDSINSURANCE.COM
                    "
Wake Forest University - Executive Education,877-523-8271,"https://sps.wfu.edu/executive-education
                    "
talentWorthy ,704-318-3718,"https://talentWorthy.us
                    "
Alchemy CoWork ,704-753-8722,"https://www.alchemycowork.com
                    "
